"","species_name","cuid","cu_name_pse","biostatus","biostatus_type","curr_spw","curr_spw_end_year","cumulative_lopct","cumulative_modpct","cumulative_hipct","climate_exposure","pop_score","hab_score","clim_score","k_cluster","conservation_type"
"25","Sockeye",712,"Cultus-Late","poor","percentile",233,2022,0,42.511705525355,57.488294474645,0.217469829480029,0.968292893251053,0.704087296883879,-0.862758279734909,"1","Recovery"
"26","Sockeye",713,"Harrison-Downstream Migrating-Late","poor","sr",398,2022,72.8860998801806,17.5448281342769,9.5690719855425,0.313963462956787,0.969546298697536,-1.36324092184172,0.715244751227371,"3","Sustained investment"
"27","Sockeye",714,"Harrison-Upstream Migrating-Late","poor","sr",6248,2022,0,0,100,0.29257557176232,0.95506281680015,1.43158544626232,0.365479114731886,"4","Targeted restoration"
"28","Sockeye",715,"Pitt-Early Summer","fair","sr",10825,2022,74.0784059904378,18.0664578488777,7.85513616068452,0.302492596241404,-0.20059539568119,-1.41297512100673,0.527656598595533,"5","Protection"
"29","Sockeye",716,"Lillooet-Harrison-Late","poor","sr",18559,2022,76.6456895579273,18.975897857432,4.37841258464067,0.251127749301049,0.815615094824264,-1.51640555169431,-0.312335442706517,"5","Protection"
"30","Sockeye",718,"Nahatlatch-Early Summer","fair","sr",3004,2022,82.4733105225057,10.1906560559874,7.33603342150686,0.322963138417974,-0.441424661581109,-1.56551954878815,0.862420421204092,"5","Protection"
"31","Sockeye",719,"Anderson-Seton-Early Summer","fair","sr",9246,2022,63.951734057503,24.2718792332411,11.7763867092559,0.307941966487353,0.0213747866893236,-1.17257456587463,0.616772558427375,"5","Protection"
"32","Sockeye",721,"Chilko-Summer","fair","sr",295505,2022,94.90306008,5.096939924,0,0.333057604242595,-0.43502889857485,-1.90376922272425,1.02749968180665,"5","Protection"
"33","Sockeye",725,"Francois-Fraser-Summer","fair","sr",74239,2022,2.54019135269576,5.2463850570616,92.2134235902427,0.319131508908501,-0.31477978304841,1.25486460329909,0.799760090552026,"4","Targeted restoration"
"34","Sockeye",727,"Nadina-Francois-Early Summer","fair","sr",41381,2022,2.54019135269576,5.2463850570616,92.2134235902427,0.296238595633757,-0.800487125669728,1.25486460329909,0.425382162874507,"4","Targeted restoration"
"35","Sockeye",728,"Quesnel-Summer (cyclic)","poor","sr",34957,2022,49.0265831277919,10.926323787533,40.0470930846751,0.318589691716948,0.970556379384655,-0.433368602200589,0.790899514577301,"3","Sustained investment"
"36","Sockeye",729,"Seton-Late (de novo)","poor","sr",863,2022,63.951734057503,24.2718792332411,11.7763867092559,0.224023674690959,0.970556379384655,-1.17257456587463,-0.755580352708291,"1","Recovery"
"37","Sockeye",731,"Takla-Trembleur-Stuart-Summer (cyclic)","poor","sr",31079,2022,35.0910179005141,21.1972531593676,43.7117289401182,0.296872054942984,0.970556379384655,-0.132178293363621,0.435741402898278,"3","Sustained investment"
"38","Sockeye",732,"Takla-Trembleur-Early Stuart (cyclic)","poor","sr",1377,2022,52.019079437779,25.3471969336988,22.6337236285222,0.334930855694743,0.970556379384655,-0.782571942736473,1.05813379063576,"3","Sustained investment"
"39","Sockeye",734,"Taseko-Early Summer","fair","percentile",534,2022,91.12778989,5.67481441688331,3.19739569593527,0.344958042458043,-0.444405389883296,-1.78444675697403,1.2221128070164,"5","Protection"
"40","Sockeye",735,"Bowron-Early Summer","poor","sr",511,2022,90.91081489,9.089185111,0,0.428542368125702,0.970219685822282,-1.83545036919125,2.58900422246168,"3","Sustained investment"
"41","Sockeye",738,"Shuswap-Early Summer (cyclic)","poor","sr",15729,2022,31.7525348029032,14.2248169013749,54.0226482957219,0.31658095722238,0.970556379384655,0.101402432277063,0.75804979168247,"3","Sustained investment"
"42","Sockeye",739,"Shuswap-Late (cyclic)","poor","sr",7519,2022,31.7525348029032,14.2248169013749,54.0226482957219,0.264173987616221,0.969882992259909,0.101402432277063,-0.0989845421110242,"1","Recovery"
"43","Sockeye",740,"Kamloops-Early Summer","poor","sr",4071,2022,30.8571499919135,14.74120352,54.401646492523,0.313009915568803,0.590276562151184,0.123210808929199,0.699650969397533,"3","Sustained investment"
"44","Sockeye",742,"Widgeon (river-type)","fair","percentile",186,2022,0,0,100,0.29403424091375,-0.321328331368687,1.43158544626232,0.389333375984076,"4","Targeted restoration"
"45","Sockeye",745,"Harrison River (river-type)","fair","sr",26834,2022,0,100,0,0.300453211720238,0.122759159971024,-0.279703574933368,0.494305642270807,"3","Sustained investment"
"46","Coho",749,"Interior Fraser","good","sr",10861,2022,32.6507728088505,22.89300687257,44.4562203185795,0.144976402153751,-1.85880128761785,-0.0776782477963564,-2.04827533328502,"2","Habitat restoration"
"47","Sockeye",752,"North Barriere-Early Summer (de novo)","poor","sr",1249,2022,11.3019605775049,28.9418681329852,59.7561712895099,0.379455440776381,0.95708297817439,0.549488013288198,1.78626400689595,"3","Sustained investment"
"48","Steelhead",780,"Mid Fraser Summer","poor","percentile",47,2023,62.2527481135757,20.1548998246373,17.592352061787,0.197787164022063,0.969141700551154,-1.04397202939015,-1.18463760618361,"1","Recovery"
"49","Steelhead",781,"Thompson Summer","poor","percentile",261,2023,10.5330578551776,26.18411747221,63.2828246726124,0.228675052041288,0.970273443617955,0.622997393319723,-0.679514323349614,"1","Recovery"
