region,species_name,cuid,total_spawning_weight,cumulative_lopct,cumulative_modpct,cumulative_hipct,cumulative_defpct,cumulative_modhipct,harvest_lopct,harvest_modpct,harvest_hipct,harvest_defpct,fire_lopct,fire_modpct,fire_hipct,fire_defpct,insect_lopct,insect_modpct,insect_hipct,insect_defpct,agriculture_lopct,agriculture_modpct,agriculture_hipct,agriculture_defpct,urbnindstrl_lopct,urbnindstrl_modpct,urbnindstrl_hipct,urbnindstrl_defpct,roads_lopct,roads_modpct,roads_hipct,roads_defpct,mining_lopct,mining_modpct,mining_hipct,mining_defpct,dataset_version
East Vancouver Island & Mainland Inlets,Chum,901,1369.7970924071385,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
East Vancouver Island & Mainland Inlets,Chum,902,2022.9909425202484,24.238522738234895,16.73638579641358,59.025091465351544,0,75.76147726176512,67.77106790082955,30.667483937776474,1.561448161393988,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,26.778706003538183,14.196202531110288,59.025091465351544,0,81.54208912508008,9.088096321558789,9.369814553361143,0,20251217
East Vancouver Island & Mainland Inlets,Chum,903,1728.5265275227168,28.32458920636484,9.502016434211951,62.173394359423206,0,71.67541079363515,62.73540133612977,27.913232407514617,9.351366256355616,0,100,0,0,0,100,0,0,0,100,0,0,0,94.88619518071239,5.113804819287634,0,0,28.32458920636484,9.502016434211951,62.173394359423206,0,69.98146004611614,25.503783643851293,4.51475631,0,20251217
East Vancouver Island & Mainland Inlets,Chum,904,6366.558292239598,19.279209237327517,12.524565031279543,68.19622573139291,0,80.72079076267246,90.89223947969167,7.010176906331454,2.0975836139768576,0,100,0,0,0,100,0,0,0,94.82084402256804,5.1791559774319404,0,0,68.68044480384306,10.676915695176861,20.64263950098004,0,21.567064879290797,10.23670938931626,68.19622573139291,0,48.018166018157835,28.878523247944827,23.103310733897302,0,20251217
East Vancouver Island & Mainland Inlets,Chum,905,1962.5613335619828,40.68024288652056,26.522986296190336,32.79677081728908,0,59.31975711347941,96.66413937694817,3.3358606230518397,0,0,100,0,0,0,100,0,0,0,100,0,0,0,70.53908980576276,9.145357722078833,20.31555247215841,0,50.97852892885223,16.224700253858664,32.79677081728908,0,68.12904945,25.538765573889595,6.332184977664297,0,20251217
East Vancouver Island & Mainland Inlets,Chum,979,1710.759194612471,90.55723017,9.442769825853011,0,0,9.442769825853011,95.79729568775983,4.202704312240162,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,90.55723017,9.442769825853011,0,0,100,0,0,0,20251217
East Vancouver Island & Mainland Inlets,Coho,907,2721.831284972873,36.68086072931974,32.14687325640515,31.172266014275102,0,63.31913927068025,95.51964998450794,4.480350015492081,0,0,100,0,0,0,100,0,0,0,100,0,0,0,76.94943704629593,6.594209400867876,16.45635355,0,46.06025782240823,22.767476163316672,31.172266014275102,0,64.84062072900745,29.120592279931106,6.038786991061439,0,20251217
East Vancouver Island & Mainland Inlets,Coho,908,3642.748633076212,48.15178146582356,20.598201093023345,31.250017441153094,0,51.84821853417644,95.60707090379535,4.0640713059014075,0.3288577903032538,0,100,0,0,0,100,0,0,0,100,0,0,0,93.80017336098352,2.113164574714097,4.086662064302401,0,53.98004100661775,14.769941552229165,31.250017441153094,0,72.28898879112106,20.257842824134066,7.453168384744897,0,20251217
East Vancouver Island & Mainland Inlets,Coho,909,7675.427080049027,58.92422741,13.442391317589014,27.633381272215324,0,41.07577258980434,84.21826970936502,14.652323145028287,1.1294071456067218,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,61.11501247525296,11.251606252531769,27.633381272215324,0,92.81711393011123,4.713310139213296,2.4695759306754983,0,20251217
East Vancouver Island & Mainland Inlets,Coho,910,6104.237241713996,5.276586708290172,3.4739484565589165,91.24946483515092,0,94.72341329170983,76.64234058615094,15.36929177018426,7.9883676436648035,0,100,0,0,0,100,0,0,0,92.21518268426749,7.784817316,0,0,63.71192818870096,12.849140816065233,23.43893099523383,0,5.712380157856376,3.0381550069927123,91.24946483515092,0,40.97128886494155,29.455578801074573,29.573132333983885,0,20251217
